[INFO] 2025-11-23 20:36:56,787 - verifier.verifier - Final global state: [<State.Lost: 4>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Lost: 4>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Lost: 4>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Lost: 4>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Lost: 4>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,788 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Lost: 4>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,789 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
[INFO] 2025-11-23 20:36:56,790 - verifier.verifier - Final global state: [<State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>, <State.Abort: 0>]
