[INFO] 2025-11-25 21:34:05,531 - main - ===== Training Mode =====
[INFO] 2025-11-25 21:34:05,531 - main - Training protocol: simple_majority with 3 players and 1 rounds.
[INFO] 2025-11-25 21:34:05,531 - main - Initializing the environment and model...
[INFO] 2025-11-25 21:34:05,937 - main - Generating all possible input patterns...
[INFO] 2025-11-25 21:34:05,938 - main - Input patterns generated.
[INFO] 2025-11-25 21:34:05,938 - main - Starting training...
[INFO] 2025-11-25 21:34:05,938 - main - Epoch 1/3, training on 200 failed cases from last evaluation.
[INFO] 2025-11-25 21:34:08,686 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,687 - verifier.verifier - Final global state: [<State.NO: 0>, <State.PASS: 3>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,687 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,687 - verifier.verifier - Final global state: [<State.NO: 0>, <State.PASS: 3>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,688 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,688 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,688 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,688 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,689 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.FAIL: 2>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,689 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,689 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,690 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,690 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,690 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,691 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,691 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,691 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,692 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,692 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,692 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,693 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,693 - verifier.verifier - Final global state: [<State.NO: 0>, <State.NO: 0>, <State.FAIL: 2>]
